Page Category,Page Name,URL,Page Title,Page Description,Hero Image Required,Hero Image Size,Gallery Images Required,Gallery Image Size,Additional Images,Image Notes,Content Status,Priority
Main Pages,Homepage,http://localhost/KVwoodworks/,Best Home Interior Designers in Chennai,Premium home interiors and wooden works in Chennai,Yes,1920x800 px,No,-,4 Category icons (300x300),Brand logos via admin,Content Ready,High
Main Pages,About Us,http://localhost/KVwoodworks/about.php,About KV Wood Works,Learn about our company history and team,Yes,1920x600 px,No,-,Team photos (400x400),Owner photo needed,Content Ready,Medium
Main Pages,Contact Us,http://localhost/KVwoodworks/contact.php,Contact Us,Get in touch for free consultation,No,-,No,-,Map embedded,Google Map updated,Content Ready,High
Main Pages,Gallery,http://localhost/KVwoodworks/gallery.php,Photo Gallery,Browse our completed projects,No,-,Yes,1200x800 px,Multiple project photos,Upload via admin/gallery.php,Needs Images,High
Main Pages,Reviews,http://localhost/KVwoodworks/reviews.php,Customer Reviews,What our customers say about us,No,-,No,-,Customer avatars auto-generated,Reviews updated from Google,Content Ready,Medium
Main Pages,FAQs,http://localhost/KVwoodworks/faqs.php,FAQs,Frequently asked questions,No,-,No,-,None needed,-,Content Ready,Low
Main Pages,Blog,http://localhost/KVwoodworks/blog.php,Interior Design Blog,Tips and inspiration articles,No,-,No,-,Blog thumbnails (600x400),Upload via admin,Needs Content,Low
Main Pages,Guides,http://localhost/KVwoodworks/guides.php,Design Guides,Interior design tips and guides,No,-,No,-,Guide banners (1200x400),Upload via admin/guides.php,Has Content,Medium
Main Pages,Get Estimate,http://localhost/KVwoodworks/get-estimate.php,Get Free Estimate,Request a free quote,No,-,No,-,None needed,-,Content Ready,High
Main Pages,Home Interiors,http://localhost/KVwoodworks/home-interior-designs.php,Home Interior Designs,All interior design services,Yes,1920x600 px,Yes,400x300 px,Category thumbnails,17 category images needed,Content Ready,High
Main Pages,Wooden Works,http://localhost/KVwoodworks/wooden-works.php,Wooden Works,Traditional wooden works,Yes,1920x600 px,Yes,400x300 px,Category thumbnails,35 category images needed,Content Ready,High
Main Pages,Recent Projects,http://localhost/KVwoodworks/recent-projects.php,Recent Projects,View our latest completed projects,No,-,Yes,1200x800 px,Project photos,Upload via admin/projects.php,Needs Images,High
Admin Pages,Dashboard,http://localhost/KVwoodworks/admin/,Admin Dashboard,Manage website content,No,-,No,-,-,-,Working,High
Admin Pages,Banners,http://localhost/KVwoodworks/admin/banners.php,Manage Banners,Upload hero banners,No,-,No,-,Banner upload form,Supports multiple banners,Working,High
Admin Pages,Brands,http://localhost/KVwoodworks/admin/brands.php,Manage Brands,Upload brand logos,No,-,No,-,Brand logo upload,6 logos needed,Working,High
Admin Pages,Gallery,http://localhost/KVwoodworks/admin/gallery.php,Manage Gallery,Upload gallery images,No,-,No,-,Multi-image upload,-,Working,High
Admin Pages,Guides,http://localhost/KVwoodworks/admin/guides.php,Manage Guides,Create design guides,No,-,No,-,Guide banner upload,-,Working,Medium
Admin Pages,Projects,http://localhost/KVwoodworks/admin/projects.php,Manage Projects,Add project showcases,No,-,No,-,Multi-image per project,-,Working,High
Admin Pages,Popup,http://localhost/KVwoodworks/admin/popup.php,Popup Settings,Configure consultation popup,No,-,No,-,Optional popup image (400x500),-,Working,Medium
Admin Pages,Leads,http://localhost/KVwoodworks/admin/leads.php,View Leads,See form submissions,No,-,No,-,-,-,Working,High
Interior Design,Modular Kitchen,http://localhost/KVwoodworks/pages/interior-design/modular-kitchen.php,Modular Kitchen Design,Custom modular kitchens Chennai,Yes,1920x600 px,Yes,800x600 px,Kitchen designs gallery,5-10 kitchen photos needed,Content Ready,High
Interior Design,Wardrobe,http://localhost/KVwoodworks/pages/interior-design/wardrobe.php,Wardrobe Design,Custom wardrobe solutions,Yes,1920x600 px,Yes,800x600 px,Wardrobe designs gallery,5-10 wardrobe photos needed,Content Ready,High
Interior Design,Bedroom,http://localhost/KVwoodworks/pages/interior-design/bedroom.php,Bedroom Interior,Master bedroom designs,Yes,1920x600 px,Yes,800x600 px,Bedroom designs gallery,5-10 bedroom photos needed,Content Ready,High
Interior Design,Living Room,http://localhost/KVwoodworks/pages/interior-design/living-room.php,Living Room Design,Living room interiors,Yes,1920x600 px,Yes,800x600 px,Living room gallery,5-10 photos needed,Content Ready,High
Interior Design,Kid Bedroom,http://localhost/KVwoodworks/pages/interior-design/kid-bedroom.php,Kids Bedroom Design,Fun and functional kids rooms,Yes,1920x600 px,Yes,800x600 px,Kids room gallery,5-10 photos needed,Content Ready,Medium
Interior Design,Pooja Room,http://localhost/KVwoodworks/pages/interior-design/pooja-room.php,Pooja Room Design,Traditional pooja room designs,Yes,1920x600 px,Yes,800x600 px,Pooja room gallery,5-10 photos needed,Content Ready,High
Interior Design,TV Unit,http://localhost/KVwoodworks/pages/interior-design/tv-unit.php,TV Unit Design,Modern TV unit designs,Yes,1920x600 px,Yes,800x600 px,TV unit gallery,5-10 photos needed,Content Ready,Medium
Interior Design,Dining Room,http://localhost/KVwoodworks/pages/interior-design/dining-room.php,Dining Room Design,Dining area interiors,Yes,1920x600 px,Yes,800x600 px,Dining room gallery,5-10 photos needed,Content Ready,Medium
Interior Design,Bathroom,http://localhost/KVwoodworks/pages/interior-design/bathroom.php,Bathroom Design,Modern bathroom interiors,Yes,1920x600 px,Yes,800x600 px,Bathroom gallery,5-10 photos needed,Content Ready,Medium
Interior Design,Balcony,http://localhost/KVwoodworks/pages/interior-design/balcony.php,Balcony Design,Balcony makeover ideas,Yes,1920x600 px,Yes,800x600 px,Balcony gallery,5-10 photos needed,Content Ready,Low
Interior Design,Home Office,http://localhost/KVwoodworks/pages/interior-design/home-office.php,Home Office Design,Work from home setups,Yes,1920x600 px,Yes,800x600 px,Home office gallery,5-10 photos needed,Content Ready,Medium
Interior Design,False Ceiling,http://localhost/KVwoodworks/pages/interior-design/false-ceiling.php,False Ceiling Design,Decorative ceilings,Yes,1920x600 px,Yes,800x600 px,Ceiling designs gallery,5-10 photos needed,Content Ready,Medium
Interior Design,Crockery Unit,http://localhost/KVwoodworks/pages/interior-design/crockery-unit.php,Crockery Unit Design,Display cabinets,Yes,1920x600 px,Yes,800x600 px,Crockery unit gallery,5-10 photos needed,Content Ready,Low
Interior Design,Study Table,http://localhost/KVwoodworks/pages/interior-design/study-table.php,Study Table Design,Study and work desks,Yes,1920x600 px,Yes,800x600 px,Study table gallery,5-10 photos needed,Content Ready,Low
Interior Design,Shoe Rack,http://localhost/KVwoodworks/pages/interior-design/shoe-rack.php,Shoe Rack Design,Shoe storage solutions,Yes,1920x600 px,Yes,800x600 px,Shoe rack gallery,5-10 photos needed,Content Ready,Low
Interior Design,Space Saving,http://localhost/KVwoodworks/pages/interior-design/space-saving.php,Space Saving Furniture,Smart storage ideas,Yes,1920x600 px,Yes,800x600 px,Space saving gallery,5-10 photos needed,Content Ready,Medium
Interior Design,Custom Kitchen,http://localhost/KVwoodworks/pages/interior-design/customize-kitchen.php,Custom Kitchen Design,Bespoke kitchen solutions,Yes,1920x600 px,Yes,800x600 px,Custom kitchen gallery,5-10 photos needed,Content Ready,Medium
BHK Interior,1 BHK,http://localhost/KVwoodworks/pages/bhk/1bhk.php,1 BHK Interior Design,Compact home interiors,Yes,1920x600 px,Yes,800x600 px,1BHK project photos,5-10 photos needed,Content Ready,High
BHK Interior,2 BHK,http://localhost/KVwoodworks/pages/bhk/2bhk.php,2 BHK Interior Design,Complete 2BHK packages,Yes,1920x600 px,Yes,800x600 px,2BHK project photos,5-10 photos needed,Content Ready,High
Wooden Works,All Doors,http://localhost/KVwoodworks/pages/wooden-works/doors.php,Wooden Doors,All door categories,Yes,1920x600 px,Yes,800x600 px,Door category images,Category overview page,Content Ready,High
Wooden Works,Main Door,http://localhost/KVwoodworks/pages/wooden-works/main-door.php,Main Door Design,Front door designs,Yes,1920x600 px,Yes,800x600 px,Main door gallery,5-10 photos needed,Content Ready,High
Wooden Works,Double Door,http://localhost/KVwoodworks/pages/wooden-works/double-door.php,Double Door Design,Double door designs,Yes,1920x600 px,Yes,800x600 px,Double door gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,Bedroom Door,http://localhost/KVwoodworks/pages/wooden-works/bedroom-door.php,Bedroom Door Design,Interior bedroom doors,Yes,1920x600 px,Yes,800x600 px,Bedroom door gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,Balcony Door,http://localhost/KVwoodworks/pages/wooden-works/balcony-door.php,Balcony Door Design,Balcony door options,Yes,1920x600 px,Yes,800x600 px,Balcony door gallery,5-10 photos needed,Content Ready,Low
Wooden Works,French Window Door,http://localhost/KVwoodworks/pages/wooden-works/french-window-door.php,French Window Door,French style doors,Yes,1920x600 px,Yes,800x600 px,French door gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,Pooja Room Door,http://localhost/KVwoodworks/pages/wooden-works/pooja-room-door.php,Pooja Room Door,Traditional pooja doors,Yes,1920x600 px,Yes,800x600 px,Pooja door gallery,5-10 photos needed,Content Ready,High
Wooden Works,Safety Door,http://localhost/KVwoodworks/pages/wooden-works/main-door-safety.php,Safety Door Design,Security doors,Yes,1920x600 px,Yes,800x600 px,Safety door gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,PVC Bathroom Door,http://localhost/KVwoodworks/pages/wooden-works/pvc-bathroom-door.php,PVC Bathroom Door,Waterproof doors,Yes,1920x600 px,Yes,800x600 px,PVC door gallery,5-10 photos needed,Content Ready,Low
Wooden Works,All Vasakal,http://localhost/KVwoodworks/pages/wooden-works/vasakal.php,Vasakal Design,Traditional thresholds,Yes,1920x600 px,Yes,800x600 px,Vasakal category images,Category overview page,Content Ready,High
Wooden Works,Main Vasakal,http://localhost/KVwoodworks/pages/wooden-works/main-vasakal.php,Main Door Vasakal,Front door thresholds,Yes,1920x600 px,Yes,800x600 px,Main vasakal gallery,5-10 photos needed,Content Ready,High
Wooden Works,Bedroom Vasakal,http://localhost/KVwoodworks/pages/wooden-works/bedroom-vasakal.php,Bedroom Vasakal,Bedroom door frames,Yes,1920x600 px,Yes,800x600 px,Bedroom vasakal gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,Pooja Vasakal,http://localhost/KVwoodworks/pages/wooden-works/pooja-room-vasakal.php,Pooja Room Vasakal,Pooja room frames,Yes,1920x600 px,Yes,800x600 px,Pooja vasakal gallery,5-10 photos needed,Content Ready,High
Wooden Works,French Vasakal,http://localhost/KVwoodworks/pages/wooden-works/french-window-vasakal.php,French Window Vasakal,French style frames,Yes,1920x600 px,Yes,800x600 px,French vasakal gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,All Windows,http://localhost/KVwoodworks/pages/wooden-works/window.php,Window Design,Wooden window designs,Yes,1920x600 px,Yes,800x600 px,Window gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,Windows Category,http://localhost/KVwoodworks/pages/wooden-works/windows.php,Windows,All window types,Yes,1920x600 px,Yes,800x600 px,Windows category images,Category overview page,Content Ready,Medium
Wooden Works,Window Janal,http://localhost/KVwoodworks/pages/wooden-works/window-janal.php,Window Janal Design,Traditional windows,Yes,1920x600 px,Yes,800x600 px,Window janal gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,Double Door Window,http://localhost/KVwoodworks/pages/wooden-works/double-door-window.php,Double Door Window,Large windows,Yes,1920x600 px,Yes,800x600 px,Double window gallery,5-10 photos needed,Content Ready,Low
Wooden Works,Staircase,http://localhost/KVwoodworks/pages/wooden-works/staircase.php,Wooden Staircase,Staircase designs,Yes,1920x600 px,Yes,800x600 px,Staircase gallery,5-10 photos needed,Content Ready,High
Wooden Works,Round Staircase,http://localhost/KVwoodworks/pages/wooden-works/round-staircase.php,Round Staircase,Spiral staircases,Yes,1920x600 px,Yes,800x600 px,Round staircase gallery,5-10 photos needed,Content Ready,High
Wooden Works,Straight Staircase,http://localhost/KVwoodworks/pages/wooden-works/straight-staircase.php,Straight Staircase,Linear staircases,Yes,1920x600 px,Yes,800x600 px,Straight staircase gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,Furniture,http://localhost/KVwoodworks/pages/wooden-works/furniture.php,Wooden Furniture,Custom furniture,Yes,1920x600 px,Yes,800x600 px,Furniture gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,Wardrobe,http://localhost/KVwoodworks/pages/wooden-works/wardrobe.php,Wooden Wardrobe,Solid wood wardrobes,Yes,1920x600 px,Yes,800x600 px,Wardrobe gallery,5-10 photos needed,Content Ready,High
Wooden Works,Kattil Bed,http://localhost/KVwoodworks/pages/wooden-works/kattil-bed.php,Kattil Bed Design,Traditional beds,Yes,1920x600 px,Yes,800x600 px,Kattil bed gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,Diwan,http://localhost/KVwoodworks/pages/wooden-works/diwan.php,Diwan Design,Day beds,Yes,1920x600 px,Yes,800x600 px,Diwan gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,Dining Table,http://localhost/KVwoodworks/pages/wooden-works/dining-table.php,Dining Table Design,Dining sets,Yes,1920x600 px,Yes,800x600 px,Dining table gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,Chair,http://localhost/KVwoodworks/pages/wooden-works/chair.php,Wooden Chair Design,Chair designs,Yes,1920x600 px,Yes,800x600 px,Chair gallery,5-10 photos needed,Content Ready,Low
Wooden Works,Sofa Set,http://localhost/KVwoodworks/pages/wooden-works/sofa-set.php,Wooden Sofa Set,Sofa designs,Yes,1920x600 px,Yes,800x600 px,Sofa gallery,5-10 photos needed,Content Ready,Medium
Wooden Works,Pooja Mandapam,http://localhost/KVwoodworks/pages/wooden-works/pooja-mandapam.php,Pooja Mandapam,Temple structures,Yes,1920x600 px,Yes,800x600 px,Mandapam gallery,5-10 photos needed,Content Ready,High
Wooden Works,Ottu Sakkai,http://localhost/KVwoodworks/pages/wooden-works/ottu-sakkai.php,Ottu Sakkai Design,Traditional shelves,Yes,1920x600 px,Yes,800x600 px,Ottu sakkai gallery,5-10 photos needed,Content Ready,Medium
